genome,completeness,contamination,length,N50
14_0903_02_30cm_Actinobacteria_345_70_4.fasta,33.45,2.99,,
14_0903_02_30cm_Ktedonobacter_racemifer_239_53_5.fasta,33.33,3.41,,
14_0903_02_30cm_Bacteria_277_55_7.fasta,32.19,5.56,,
14_0903_02_30cm_Verrucomicrobia_240_55_6.fasta,31.86,0.0,,
14_0903_02_30cm_Proteobacteria_278_68_4.fasta,31.83,0.81,,
14_0903_02_30cm_Bacteria_308_65_5.fasta,31.03,0.55,,
14_0903_02_30cm_Actinobacteria_10592_69_8.fasta,30.87,3.95,,
14_0903_02_30cm_Bacteroidetes_279_37_4.fasta,30.29,0.99,,
14_0903_02_30cm_Bacteria_322_55_5.fasta,29.4,1.28,,
14_0903_02_30cm_Actinobacteria_367_71_8.fasta,29.19,0.89,,
14_0903_02_30cm_Bacteria_271_53_4.fasta,28.72,0.0,,
14_0903_02_30cm_Bacteria_354_58_4.fasta,28.13,3.3,,
14_0903_02_30cm_Bacteria_285_68_6.fasta,27.79,1.72,,
14_0903_02_30cm_Actinobacteria_317_72_5.fasta,27.21,3.31,,
14_0903_02_30cm_Actinobacteria_316_68_7.fasta,26.78,3.52,,
14_0903_02_30cm_Bacteria_361_55_5.fasta,26.55,8.62,,
14_0903_02_30cm_Bacteria_330_57_14.fasta,25.52,3.77,,
14_0903_02_30cm_Bacteria_288_55_7.fasta,25.45,3.72,,
14_0903_02_30cm_Bacteria_331_69_5.fasta,25.26,0.0,,
14_0903_02_30cm_Actinobacteria_287_70_4.fasta,25.06,3.26,,
14_0903_02_30cm_Alphaproteobacteria_359_65_6.fasta,24.22,5.17,,
14_0903_02_30cm_Bacteria_323_54_4.fasta,24.14,0.0,,
14_0903_02_30cm_Bacteria_294_67_4.fasta,23.86,0.0,,
14_0903_02_30cm_Bacteria_289_69_7.fasta,23.37,1.16,,
14_0903_02_30cm_Bacteria_310_62_4.fasta,23.33,3.45,,
14_0903_02_30cm_Bacteria_264_67_4.fasta,23.05,1.44,,
14_0903_02_30cm_Bacteria_344_66_5.fasta,22.83,2.57,,
14_0903_02_30cm_Bacteria_290_55_5.fasta,22.73,0.68,,
14_0903_02_30cm_Euryarchaeota_296_64_11.fasta,22.45,2.0,,
14_0903_02_30cm_Bacteria_275_65_9.fasta,22.06,1.56,,
14_0903_02_30cm_Bacteria_284_67_5.fasta,21.56,2.1,,
14_0903_02_30cm_Bacteria_293_53_6.fasta,20.53,0.0,,
14_0903_02_30cm_Bacteria_342_54_7.fasta,19.54,0.68,,
14_0903_02_30cm_Proteobacteria_336_65_8.fasta,18.42,1.06,,
14_0903_02_30cm_Bacteria_343_54_6.fasta,18.18,1.35,,
14_0903_02_30cm_unknown_372_52_10.fasta,17.96,0.97,,
14_0903_02_30cm_Bacteria_260_68_6.fasta,17.78,0.69,,
14_0903_02_30cm_Bacteria_338_57_6.fasta,17.41,0.0,,
14_0903_02_30cm_Actinobacteria_366_71_7.fasta,17.32,1.07,,
14_0903_02_30cm_Bacteria_346_57_4.fasta,16.38,0.0,,
14_0903_02_30cm_Bacteria_374_55_7.fasta,16.21,5.17,,
14_0903_02_30cm_Bacteria_365_69_7.fasta,15.52,1.72,,
14_0903_02_30cm_unknown_356_53_6.fasta,15.05,0.0,,
14_0903_02_30cm_Bacteria_273_67_10.fasta,14.57,1.1,,
14_0903_02_30cm_Bacteria_334_54_17.fasta,13.89,0.0,,
14_0903_02_30cm_Bacteria_337_55_6.fasta,13.85,0.0,,
14_0903_02_30cm_Bacteria_315_66_7.fasta,13.64,0.0,,
14_0903_02_30cm_Bacteria_347_66_6.fasta,12.93,1.15,,
14_0903_02_30cm_Ktedonobacter_racemifer_350_52_6.fasta,12.11,0.0,,
14_0903_02_30cm_Actinobacteria_320_69_8.fasta,11.75,2.76,,
14_0903_02_30cm_Bacteria_291_56_6.fasta,10.95,0.96,,
14_0903_02_30cm_Bacteria_325_70_8.fasta,10.94,0.0,,
14_0903_02_30cm_Bacteroidetes_333_41_5.fasta,10.66,0.0,,
14_0903_02_30cm_unknown_327_66_10.fasta,10.58,1.72,,
14_0903_02_30cm_Proteobacteria_362_64_6.fasta,10.26,0.0,,
14_0903_02_30cm_Bradyrhizobium_306_63_9.fasta,10.2,0.0,,
14_0903_02_30cm_Bacteria_332_68_4.fasta,9.81,0.16,,
14_0903_02_30cm_Bacteria_364_66_6.fasta,9.4,0.0,,
14_0903_02_30cm_unknown_355_53_7.fasta,9.35,0.0,,
14_0903_02_30cm_Bacteria_301_68_7.fasta,9.23,0.0,,
14_0903_02_30cm_Bacteria_348_67_4.fasta,8.33,0.0,,
14_0903_02_30cm_Bacteria_368_68_5.fasta,7.89,0.0,,
14_0903_02_30cm_Bacteria_281_67_6.fasta,7.85,0.0,,
14_0903_02_30cm_Actinobacteria_351_70_5.fasta,7.13,0.0,,
14_0903_02_30cm_Bacteria_363_52_4.fasta,5.96,0.0,,
14_0903_02_30cm_Bacteria_265_66_6.fasta,5.79,0.0,,
14_0903_02_30cm_Bradyrhizobium_251_62_10.fasta,5.45,0.0,,
14_0903_02_30cm_Verrucomicrobia_352_54_12.fasta,5.41,0.0,,
14_0903_02_30cm_Bacteria_326_66_10.fasta,4.39,0.0,,
14_0903_02_30cm_Euryarchaeota_376_64_13.fasta,4.17,0.0,,
14_0903_02_30cm_Bacteria_341_69_6.fasta,4.15,0.0,,
14_0903_02_30cm_Bacteria_375_55_8.fasta,4.08,1.72,,
14_0903_02_30cm_Bacteria_373_56_8.fasta,4.04,0.0,,
14_0903_02_30cm_Bacteria_349_67_6.fasta,2.82,0.0,,
14_0903_02_30cm_Acidobacteria_339_65_6.fasta,2.82,0.0,,
14_0903_02_30cm_Bacteria_360_69_5.fasta,1.91,0.0,,
14_0903_02_30cm_Bacteria_340_66_7.fasta,1.72,0.0,,
14_0903_02_30cm_Rhizobiales_292_63_10.fasta,1.49,0.05,,
14_0903_02_30cm_Proteobacteria_353_64_12.fasta,1.41,0.0,,
14_0903_02_30cm_Bacteria_370_56_9.fasta,0.9,0.0,,
14_0903_02_40cm_Bacteria_1_63_6.fasta,95.68,3.42,6749719.0,44718.0
14_0903_02_40cm_Euryarchaeota_4_64_13.fasta,92.4,9.36,2265793.0,16400.0
14_0903_02_40cm_Bacteria_5_54_8.fasta,91.06,4.75,2972192.0,8962.0
14_0903_02_40cm_Bacteria_9_54_9.fasta,87.5,8.65,2210551.0,6635.0
14_0903_02_40cm_Betaproteobacteria_8_66_7.fasta,85.39,3.34,2281840.0,7482.0
14_0903_02_40cm_Archaea_14_53_10.fasta,84.5,7.17,1877135.0,6751.0
14_0903_02_40cm_Bacteria_2_57_5.fasta,83.19,2.24,5164564.0,12252.0
14_0903_02_40cm_Bacteria_16_54_7.fasta,82.33,6.91,2880507.0,5721.0
14_0903_02_40cm_Armatimonadetes_3_65_5.fasta,81.96,0.93,2315992.0,8457.0
14_0903_02_40cm_Rokubacteria_6_70_6.fasta,77.26,5.72,5447266.0,14639.0
14_0903_02_40cm_Bacteria_30_55_7.fasta,75.21,14.63,3110090.0,4612.0
14_0903_02_40cm_Gemmatimonadetes_13_68_11.fasta,74.45,8.44,,
14_0903_02_40cm_Bacteria_7_55_6.fasta,73.93,9.56,,
14_0903_02_40cm_Gemmatimonadetes_28_65_6.fasta,70.42,5.23,,
14_0903_02_40cm_Rokubacteria_21_69_6.fasta,69.79,10.21,,
