cluster	cluster_num	type	scaffold	start	stop	Domain	motif	ORF
c00001_14_0903...cluster001.gbk	001	terpene	14_0903_02_20cm_scaffold_17	52292	53462	false	false	14_0903_02_20cm_scaffold_17_43
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	214	1699	false	false	14_0903_02_20cm_scaffold_25_1
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	1760	2717	false	false	14_0903_02_20cm_scaffold_25_2
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	2723	5807	false	false	14_0903_02_20cm_scaffold_25_3
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	5822	7145	false	false	14_0903_02_20cm_scaffold_25_4
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	7417	7852	false	false	14_0903_02_20cm_scaffold_25_5
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	7936	9892	AMP-binding	false	14_0903_02_20cm_scaffold_25_6
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	9891	11205	p450	false	14_0903_02_20cm_scaffold_25_7
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	11409	12156	false	false	14_0903_02_20cm_scaffold_25_8
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	12399	15078	false	false	14_0903_02_20cm_scaffold_25_9
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	15148	15769	false	false	14_0903_02_20cm_scaffold_25_10
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	15855	16725	false	false	14_0903_02_20cm_scaffold_25_11
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	16733	17342	false	false	14_0903_02_20cm_scaffold_25_12
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	17637	17958	false	false	14_0903_02_20cm_scaffold_25_13
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	18031	18790	false	false	14_0903_02_20cm_scaffold_25_14
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	18814	19849	false	false	14_0903_02_20cm_scaffold_25_15
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	20038	22708	false	false	14_0903_02_20cm_scaffold_25_16
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	22724	24155	false	false	14_0903_02_20cm_scaffold_25_17
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	24151	25906	false	false	14_0903_02_20cm_scaffold_25_18
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	26044	26785	false	false	14_0903_02_20cm_scaffold_25_19
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	26808	27855	PKS_ER	false	14_0903_02_20cm_scaffold_25_20
c00001_14_0903...cluster002.gbk	002	other	14_0903_02_20cm_scaffold_25	27925	28468	false	false	14_0903_02_20cm_scaffold_25_21
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	43575	45441	false	false	14_0903_02_20cm_scaffold_25_36
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	45437	45947	false	false	14_0903_02_20cm_scaffold_25_37
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	46065	47775	false	false	14_0903_02_20cm_scaffold_25_38
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	47950	48730	false	false	14_0903_02_20cm_scaffold_25_39
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	48738	49455	false	false	14_0903_02_20cm_scaffold_25_40
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	49438	49939	false	false	14_0903_02_20cm_scaffold_25_41
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	49982	51560	false	false	14_0903_02_20cm_scaffold_25_42
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	51715	53317	false	false	14_0903_02_20cm_scaffold_25_43
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	53404	55390	indsynth	false	14_0903_02_20cm_scaffold_25_44
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	55398	58740	false	false	14_0903_02_20cm_scaffold_25_45
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	58779	59349	false	false	14_0903_02_20cm_scaffold_25_46
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	59345	60422	false	false	14_0903_02_20cm_scaffold_25_47
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	60430	61021	false	false	14_0903_02_20cm_scaffold_25_48
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	61014	61449	false	false	14_0903_02_20cm_scaffold_25_49
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	61548	61986	false	false	14_0903_02_20cm_scaffold_25_50
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	62250	64233	false	false	14_0903_02_20cm_scaffold_25_51
c00001_14_0903...cluster003.gbk	003	indole	14_0903_02_20cm_scaffold_25	64210	65212	false	false	14_0903_02_20cm_scaffold_25_52
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	6863	10040	false	false	14_0903_02_20cm_scaffold_38_5
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	10036	11503	false	false	14_0903_02_20cm_scaffold_38_6
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	11552	11978	false	false	14_0903_02_20cm_scaffold_38_7
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	11974	12271	false	false	14_0903_02_20cm_scaffold_38_8
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	12320	13646	false	false	14_0903_02_20cm_scaffold_38_9
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	13669	15394	false	false	14_0903_02_20cm_scaffold_38_10
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	15517	15859	false	false	14_0903_02_20cm_scaffold_38_11
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	15878	16961	false	false	14_0903_02_20cm_scaffold_38_12
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	16977	17820	false	false	14_0903_02_20cm_scaffold_38_13
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	17816	18569	Glycos_transf_2	false	14_0903_02_20cm_scaffold_38_14
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	18608	18914	PP-binding	false	14_0903_02_20cm_scaffold_38_15
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	19024	20296	AMP-binding	false	14_0903_02_20cm_scaffold_38_16
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	20310	20631	false	false	14_0903_02_20cm_scaffold_38_17
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	20627	21617	false	false	14_0903_02_20cm_scaffold_38_18
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	21613	22222	false	false	14_0903_02_20cm_scaffold_38_19
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	22218	24612	false	false	14_0903_02_20cm_scaffold_38_20
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	24608	25277	false	false	14_0903_02_20cm_scaffold_38_21
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	25293	26139	false	false	14_0903_02_20cm_scaffold_38_22
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	26155	27349	APE_KS2	false	14_0903_02_20cm_scaffold_38_23
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	27353	28154	false	false	14_0903_02_20cm_scaffold_38_24
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	28144	28645	false	false	14_0903_02_20cm_scaffold_38_25
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	28641	29391	adh_short	false	14_0903_02_20cm_scaffold_38_26
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	29481	30624	false	false	14_0903_02_20cm_scaffold_38_27
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	30662	31754	PF00561	false	14_0903_02_20cm_scaffold_38_28
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	31753	32572	false	false	14_0903_02_20cm_scaffold_38_29
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	32773	33280	false	false	14_0903_02_20cm_scaffold_38_30
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	33372	34134	adh_short	false	14_0903_02_20cm_scaffold_38_31
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	34380	34737	false	false	14_0903_02_20cm_scaffold_38_32
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	34805	36635	PF00561	false	14_0903_02_20cm_scaffold_38_33
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	36657	39279	false	false	14_0903_02_20cm_scaffold_38_34
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	39307	40261	false	false	14_0903_02_20cm_scaffold_38_35
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	41081	42497	Glyco_tran_28_C	false	14_0903_02_20cm_scaffold_38_36
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	42526	43855	Glycos_transf_1	false	14_0903_02_20cm_scaffold_38_37
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	43851	45609	false	false	14_0903_02_20cm_scaffold_38_38
c00001_14_0903...cluster004.gbk	004	arylpolyene	14_0903_02_20cm_scaffold_38	45683	46640	false	false	14_0903_02_20cm_scaffold_38_39
c00001_14_0903...cluster005.gbk	005	bacteriocin	14_0903_02_20cm_scaffold_107	2354	3500	false	false	14_0903_02_20cm_scaffold_107_4
c00001_14_0903...cluster005.gbk	005	bacteriocin	14_0903_02_20cm_scaffold_107	3493	4663	false	false	14_0903_02_20cm_scaffold_107_5
c00001_14_0903...cluster005.gbk	005	bacteriocin	14_0903_02_20cm_scaffold_107	4710	6084	false	false	14_0903_02_20cm_scaffold_107_6
c00001_14_0903...cluster005.gbk	005	bacteriocin	14_0903_02_20cm_scaffold_107	6105	6882	false	false	14_0903_02_20cm_scaffold_107_7
c00001_14_0903...cluster005.gbk	005	bacteriocin	14_0903_02_20cm_scaffold_107	6878	7781	DUF692	false	14_0903_02_20cm_scaffold_107_8
c00001_14_0903...cluster005.gbk	005	bacteriocin	14_0903_02_20cm_scaffold_107	7833	8082	false	false	14_0903_02_20cm_scaffold_107_9
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	3	588	false	false	14_0903_02_20cm_scaffold_2190_1
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	619	1501	false	false	14_0903_02_20cm_scaffold_2190_2
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	1497	2388	false	false	14_0903_02_20cm_scaffold_2190_3
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	2398	3922	PF04055	false	14_0903_02_20cm_scaffold_2190_4
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	3896	5054	Glycos_transf_2	false	14_0903_02_20cm_scaffold_2190_5
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	5161	5764	false	false	14_0903_02_20cm_scaffold_2190_6
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	5776	6928	PF04055	false	14_0903_02_20cm_scaffold_2190_7
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	6953	8078	phytoene_synt	false	14_0903_02_20cm_scaffold_2190_8
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	8170	9007	false	false	14_0903_02_20cm_scaffold_2190_9
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	9380	10064	terpene_cyclase	false	14_0903_02_20cm_scaffold_2190_10
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	10060	10777	false	false	14_0903_02_20cm_scaffold_2190_11
c00001_14_0903...cluster006.gbk	006	terpene	14_0903_02_20cm_scaffold_2190	10773	11346	NAD_binding_4	false	14_0903_02_20cm_scaffold_2190_12
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	344	665	false	false	14_0903_05_40cm_scaffold_1803_1
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	628	1210	false	false	14_0903_05_40cm_scaffold_1803_2
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	1435	1561	false	false	14_0903_05_40cm_scaffold_1803_3
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	1688	2186	false	false	14_0903_05_40cm_scaffold_1803_4
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	2175	3318	false	false	14_0903_05_40cm_scaffold_1803_5
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	3323	3563	false	false	14_0903_05_40cm_scaffold_1803_6
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	3719	4022	false	false	14_0903_05_40cm_scaffold_1803_7
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	4018	4918	DUF692	false	14_0903_05_40cm_scaffold_1803_8
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	4889	5831	false	false	14_0903_05_40cm_scaffold_1803_9
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	6544	6700	false	false	14_0903_05_40cm_scaffold_1803_10
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	6653	7370	false	false	14_0903_05_40cm_scaffold_1803_11
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	7810	8077	false	false	14_0903_05_40cm_scaffold_1803_12
c00001_14_0903...cluster001.gbk	001	bacteriocin	14_0903_05_40cm_scaffold_1803	8073	8571	false	false	14_0903_05_40cm_scaffold_1803_13
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	20204	20717	false	false	14_0903_05_40cm_scaffold_1846_11
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	20700	22347	Glycos_transf_1	false	14_0903_05_40cm_scaffold_1846_12
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	22690	23188	false	false	14_0903_05_40cm_scaffold_1846_13
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	23231	24467	PF05402	false	14_0903_05_40cm_scaffold_1846_14
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	24550	24808	PF05402	false	14_0903_05_40cm_scaffold_1846_15
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	25146	26262	Glycos_transf_1	false	14_0903_05_40cm_scaffold_1846_16
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	26255	27197	Glyco_transf_8	false	14_0903_05_40cm_scaffold_1846_17
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	27218	28175	Glyco_transf_8	false	14_0903_05_40cm_scaffold_1846_18
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	28202	29165	Glycos_transf_1	false	14_0903_05_40cm_scaffold_1846_19
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	29578	29953	PF13471	false	14_0903_05_40cm_scaffold_1846_20
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	30001	31945	tsrC	false	14_0903_05_40cm_scaffold_1846_21
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	31998	34062	tsrC	false	14_0903_05_40cm_scaffold_1846_22
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	34105	34276	false	false	14_0903_05_40cm_scaffold_1846_23
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	34358	34529	false	false	14_0903_05_40cm_scaffold_1846_24
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	34713	34881	false	false	14_0903_05_40cm_scaffold_1846_25
c00001_14_0903...cluster002.gbk	002	lassopeptide	14_0903_05_40cm_scaffold_1846	35026	35455	false	false	14_0903_05_40cm_scaffold_1846_26
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	2165	6233	AMP-binding	false	14_0903_05_40cm_scaffold_1995_2
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	6281	7085	false	false	14_0903_05_40cm_scaffold_1995_3
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	7314	10017	Polysacc_synt_2	false	14_0903_05_40cm_scaffold_1995_4
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	10038	11289	DegT_DnrJ_EryC1	false	14_0903_05_40cm_scaffold_1995_5
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	11469	12897	false	false	14_0903_05_40cm_scaffold_1995_6
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	12919	13984	Glycos_transf_1	false	14_0903_05_40cm_scaffold_1995_7
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	14010	15390	false	false	14_0903_05_40cm_scaffold_1995_8
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	15756	18732	false	false	14_0903_05_40cm_scaffold_1995_9
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	18864	19947	Poly_export	false	14_0903_05_40cm_scaffold_1995_10
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	20232	20571	false	false	14_0903_05_40cm_scaffold_1995_11
c00001_14_0903...cluster003.gbk	003	nrps	14_0903_05_40cm_scaffold_1995	20967	22020	false	false	14_0903_05_40cm_scaffold_1995_12
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	3	1761	A-OX	false	14_0903_05_40cm_scaffold_4146_1
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	1699	2530	PF12697	false	14_0903_05_40cm_scaffold_4146_2
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	2602	3634	Glycos_transf_2	false	14_0903_05_40cm_scaffold_4146_3
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	3663	4422	oMT	false	14_0903_05_40cm_scaffold_4146_4
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	4715	5438	ACPS	false	14_0903_05_40cm_scaffold_4146_5
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	5570	5954	false	false	14_0903_05_40cm_scaffold_4146_6
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	6102	9669	false	false	14_0903_05_40cm_scaffold_4146_7
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	9817	10039	false	false	14_0903_05_40cm_scaffold_4146_8
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	10038	10407	false	false	14_0903_05_40cm_scaffold_4146_9
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	10944	11169	false	false	14_0903_05_40cm_scaffold_4146_10
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	11165	11525	false	false	14_0903_05_40cm_scaffold_4146_11
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	11712	12228	false	false	14_0903_05_40cm_scaffold_4146_12
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	12224	12548	false	false	14_0903_05_40cm_scaffold_4146_13
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	12762	13884	Epimerase_2	false	14_0903_05_40cm_scaffold_4146_14
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	13959	14634	false	false	14_0903_05_40cm_scaffold_4146_15
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	14742	15738	Polysacc_synt_2	false	14_0903_05_40cm_scaffold_4146_16
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	15740	16619	Glycos_transf_2	false	14_0903_05_40cm_scaffold_4146_17
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	16779	18252	PF04055	false	14_0903_05_40cm_scaffold_4146_18
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	18741	19665	false	false	14_0903_05_40cm_scaffold_4146_19
c00001_14_0903...cluster004.gbk	004	other	14_0903_05_40cm_scaffold_4146	19983	20982	PF04055	false	14_0903_05_40cm_scaffold_4146_20
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	100349	101339	false	false	14_0903_05_40cm_scaffold_5_102
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	101340	102369	false	false	14_0903_05_40cm_scaffold_5_103
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	102622	104536	false	false	14_0903_05_40cm_scaffold_5_104
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	105060	106956	false	false	14_0903_05_40cm_scaffold_5_105
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	107112	108447	false	false	14_0903_05_40cm_scaffold_5_106
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	108446	110867	false	false	14_0903_05_40cm_scaffold_5_107
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	110874	111393	false	false	14_0903_05_40cm_scaffold_5_108
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	111337	112606	false	false	14_0903_05_40cm_scaffold_5_109
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	112768	113131	false	false	14_0903_05_40cm_scaffold_5_110
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	113281	114085	false	false	14_0903_05_40cm_scaffold_5_111
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	114243	116049	false	false	14_0903_05_40cm_scaffold_5_112
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	116038	116734	false	false	14_0903_05_40cm_scaffold_5_113
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	116920	119512	false	false	14_0903_05_40cm_scaffold_5_114
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	119686	122365	AMP-binding	false	14_0903_05_40cm_scaffold_5_115
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	122539	123667	PF04055	false	14_0903_05_40cm_scaffold_5_116
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	123663	124140	false	false	14_0903_05_40cm_scaffold_5_117
c00001_14_0903...cluster005.gbk	005	other	14_0903_05_40cm_scaffold_5	124433	124637	false	false	14_0903_05_40cm_scaffold_5_118
