gene	locus_num	genome	block1	block2
14_0927_05_20cm_scaffold_350_5	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_6	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_7	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_8	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_9	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_10	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_12	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_13	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_350_14	6	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_4	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_5	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_6	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_7	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_8	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_9	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_10	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_582_11	7	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_7224_2	8	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_7224_3	8	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_7224_4	8	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_7224_5	8	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_05_20cm_scaffold_7224_6	8	14_0927_05_20cm_Gemmatimonadetes_2150_69_20	5_2	16_13
14_0927_12_40cm_scaffold_4891_20	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_4891_22	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_4891_23	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_4891_24	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_4891_25	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_4891_29	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_4891_30	1	14_0927_12_40cm_Bacteria_6527_55_8	5_2	12_9
14_0927_12_40cm_scaffold_43864_4	2	14_0927_12_40cm_Bacteria_6527_55_8	5_2	16_13
14_0927_12_40cm_scaffold_43864_6	2	14_0927_12_40cm_Bacteria_6527_55_8	5_2	16_13
14_0927_12_40cm_scaffold_43864_8	2	14_0927_12_40cm_Bacteria_6527_55_8	5_2	16_13
14_0927_12_40cm_scaffold_43864_10	2	14_0927_12_40cm_Bacteria_6527_55_8	5_2	16_13
14_0927_12_40cm_scaffold_43864_11	2	14_0927_12_40cm_Bacteria_6527_55_8	5_2	16_13
14_0929_02_20cm_scaffold_146_4	1	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_146_6	1	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_146_7	1	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_146_8	1	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_146_9	1	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_146_10	1	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_48	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_49	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_52	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_54	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_55	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_57	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_58	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_223_67	2	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_40	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_41	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_42	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_44	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_46	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_47	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_49	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_791_50	3	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	16_13	12_9
14_0929_02_20cm_scaffold_146_4	4	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_146_7	4	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_146_8	4	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_146_9	4	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_146_10	4	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_146_12	4	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_48	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_49	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_52	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_54	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_55	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_57	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_223_58	5	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	12_9
14_0929_02_20cm_scaffold_146_4	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_7	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_8	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_9	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_10	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_12	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_13	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_146_14	6	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_1595_11	7	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_1595_12	7	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_1595_13	7	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_1595_14	7	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_1595_15	7	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_1595_16	7	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_223_50	8	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_223_51	8	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_223_52	8	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_223_54	8	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_223_55	8	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_223_56	8	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_286_33	9	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_286_34	9	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_286_35	9	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_286_36	9	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_286_37	9	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_7044_2	10	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_7044_4	10	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_7044_5	10	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_7044_6	10	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_7044_7	10	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_20cm_scaffold_7044_8	10	14_0929_02_20cm_Deltaproteobacteria_2457_55_9	5_2	16_13
14_0929_02_40cm_scaffold_111_32	1	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_111_33	1	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_111_34	1	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_111_35	1	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_111_36	1	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_139_67	2	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_139_68	2	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_139_69	2	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_139_70	2	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_139_71	2	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_139_72	2	14_0929_02_40cm_Rokubacteria_2807_70_29	16_13	12_9
14_0929_02_40cm_scaffold_111_32	3	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_111_33	3	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_111_34	3	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_111_35	3	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_111_36	3	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_111_37	3	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_139_67	4	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_139_68	4	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_139_69	4	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_139_70	4	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_139_71	4	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_02_40cm_scaffold_139_72	4	14_0929_02_40cm_Rokubacteria_2807_70_29	5_2	12_9
14_0929_09_20cm_scaffold_328_18	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_19	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_20	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_21	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_22	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_23	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_24	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_328_25	1	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_3398_2	2	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_3398_3	2	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_3398_4	2	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_3398_5	2	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_3398_6	2	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_69_2	3	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_69_3	3	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_69_4	3	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_69_5	3	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_20cm_scaffold_69_7	3	14_0929_09_20cm_Bacteria_6721_56_10	16_13	12_9
14_0929_09_30cm_scaffold_381_73	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_74	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_75	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_76	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_77	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_78	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_79	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_80	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_381_81	1	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	12_9
14_0929_09_30cm_scaffold_10105_2	2	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_10105_3	2	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_10105_4	2	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_10105_5	2	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_10105_6	2	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_6	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_7	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_8	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_9	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_10	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_11	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_12	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_13	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_09_30cm_scaffold_367_14	3	14_0929_09_30cm_Armatimonadetes_6837_65_8	5_2	16_13
14_0929_12_30cm_scaffold_709_17	1	14_0929_12_30cm_Bacteria_7383_54_8	16_13	12_9
14_0929_12_30cm_scaffold_709_18	1	14_0929_12_30cm_Bacteria_7383_54_8	16_13	12_9
14_0929_12_30cm_scaffold_709_19	1	14_0929_12_30cm_Bacteria_7383_54_8	16_13	12_9
14_0929_12_30cm_scaffold_709_20	1	14_0929_12_30cm_Bacteria_7383_54_8	16_13	12_9
14_0929_12_30cm_scaffold_709_21	1	14_0929_12_30cm_Bacteria_7383_54_8	16_13	12_9
14_0929_12_30cm_scaffold_709_22	1	14_0929_12_30cm_Bacteria_7383_54_8	16_13	12_9
14_1009_02_30cm_scaffold_20_68	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_30cm_scaffold_20_69	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_30cm_scaffold_20_70	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_30cm_scaffold_20_71	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_30cm_scaffold_20_72	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_30cm_scaffold_20_73	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_30cm_scaffold_20_74	1	14_1009_02_30cm_Gemmatimonadetes_3684_69_12	5_2	12_9
14_1009_02_40cm_scaffold_323_8	1	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	16_13	12_9
14_1009_02_40cm_scaffold_323_9	1	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	16_13	12_9
14_1009_02_40cm_scaffold_323_10	1	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	16_13	12_9
14_1009_02_40cm_scaffold_323_11	1	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	16_13	12_9
14_1009_02_40cm_scaffold_323_12	1	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	16_13	12_9
14_1009_02_40cm_scaffold_5359_10	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
14_1009_02_40cm_scaffold_5359_11	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
14_1009_02_40cm_scaffold_5359_12	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
14_1009_02_40cm_scaffold_5359_13	2	14_1009_02_40cm_Gemmatimonadetes_3801_70_15	5_2	12_9
