genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
14_1009_05_40cm_Candidatus_Nitrososphaera_gargensis_4356_47_8.fasta,5_1,0.030000000000000027,average,ANImf,5
14_1009_16_30cm_Candidatus_Nitrososphaera_gargensis_9793_48_8.fasta,5_1,0.030000000000000027,average,ANImf,5
14_0903_13_30cm_Candidatus_Nitrososphaera_gargensis_4911_47_13.fasta,5_2,0.030000000000000027,average,ANImf,5
14_1009_09_30cm_Candidatus_Nitrososphaera_gargensis_7966_47_5.fasta,5_2,0.030000000000000027,average,ANImf,5
14_0903_16_40cm_Nitrososphaera_5661_35_8.fasta,6_1,0.030000000000000027,average,ANImf,6
14_0927_05_40cm_Nitrososphaera_2336_34_5.fasta,6_1,0.030000000000000027,average,ANImf,6
14_0929_05_40cm_Nitrososphaera_3389_34_9.fasta,6_1,0.030000000000000027,average,ANImf,6
14_1009_05_40cm_Nitrososphaera_4404_34_5.fasta,6_1,0.030000000000000027,average,ANImf,6
14_1009_16_40cm_Nitrososphaera_10107_34_8.fasta,6_1,0.030000000000000027,average,ANImf,6
14_0927_05_40cm_Thaumarchaeota_2325_35_9.fasta,7_1,0.030000000000000027,average,ANImf,7
14_0929_05_40cm_Thaumarchaeota_3480_35_9.fasta,7_1,0.030000000000000027,average,ANImf,7
14_1009_05_40cm_Thaumarchaeota_4373_35_8.fasta,7_1,0.030000000000000027,average,ANImf,7
14_0903_13_30cm_Sphingobacteriales_4860_42_9.fasta,8_1,0.030000000000000027,average,ANImf,8
14_1009_16_30cm_Sphingobacteriales_9628_42_8.fasta,8_1,0.030000000000000027,average,ANImf,8
14_1009_16_40cm_Sphingobacteriales_10093_42_6.fasta,8_1,0.030000000000000027,average,ANImf,8
14_0903_02_30cm_Sphingobacteriales_181_43_6.fasta,9_0,0.030000000000000027,average,ANImf,9
14_0903_02_20cm_Sphingobacteriales_57_38_5.fasta,10_1,0.030000000000000027,average,ANImf,10
14_0903_02_30cm_Sphingobacteriales_157_38_13.fasta,10_1,0.030000000000000027,average,ANImf,10
14_0903_02_30cm_Sphingobacteriales_221_37_7.fasta,11_0,0.030000000000000027,average,ANImf,11
14_0903_02_30cm_Sphingobacteriales_165_43_8.fasta,12_0,0.030000000000000027,average,ANImf,12
14_1009_16_30cm_Archaea_9812_57_7.fasta,13_1,0.030000000000000027,average,ANImf,13
14_1009_16_40cm_Archaea_10256_57_10.fasta,13_1,0.030000000000000027,average,ANImf,13
14_0929_09_40cm_Archaea_7090_57_9.fasta,14_1,0.030000000000000027,average,ANImf,14
14_1009_09_40cm_Archaea_8208_57_8.fasta,14_1,0.030000000000000027,average,ANImf,14
14_1009_12_30cm_Archaea_8560_57_7.fasta,14_1,0.030000000000000027,average,ANImf,14
14_1009_12_40cm_unknown_8796_56_10.fasta,14_1,0.030000000000000027,average,ANImf,14
14_0903_05_40cm_Archaea_502_56_8.fasta,14_2,0.030000000000000027,average,ANImf,14
14_0929_02_40cm_Archaea_2856_56_7.fasta,14_3,0.030000000000000027,average,ANImf,14
14_0903_13_40cm_Archaea_1404_57_6.fasta,14_4,0.030000000000000027,average,ANImf,14
14_0903_05_40cm_unknown_510_51_9.fasta,15_1,0.030000000000000027,average,ANImf,15
14_0929_05_30cm_Archaea_3251_51_9.fasta,15_1,0.030000000000000027,average,ANImf,15
14_0929_05_40cm_unknown_3483_51_12.fasta,15_1,0.030000000000000027,average,ANImf,15
14_1009_05_40cm_unknown_4390_51_10.fasta,15_1,0.030000000000000027,average,ANImf,15
14_0903_09_40cm_Archaea_808_51_8.fasta,15_2,0.030000000000000027,average,ANImf,15
14_1009_09_30cm_unknown_8071_51_10.fasta,15_2,0.030000000000000027,average,ANImf,15
14_0903_16_40cm_Archaea_5717_51_10.fasta,15_3,0.030000000000000027,average,ANImf,15
14_0927_09_40cm_Archaea_6228_53_6.fasta,16_1,0.030000000000000027,average,ANImf,16
14_0929_09_40cm_Archaea_7033_53_7.fasta,16_1,0.030000000000000027,average,ANImf,16
14_0903_02_40cm_Archaea_14_53_10.fasta,16_2,0.030000000000000027,average,ANImf,16
14_0929_02_30cm_unknown_2673_53_30.fasta,16_2,0.030000000000000027,average,ANImf,16
14_1009_02_30cm_unknown_3720_53_16.fasta,16_2,0.030000000000000027,average,ANImf,16
14_0903_05_20cm_Archaea_384_53_7.fasta,16_3,0.030000000000000027,average,ANImf,16
14_0919_05_20cm_Archaea_1583_53_7.fasta,16_3,0.030000000000000027,average,ANImf,16
14_0927_05_20cm_Archaea_2192_53_16.fasta,16_3,0.030000000000000027,average,ANImf,16
14_1009_05_20cm_Archaea_4006_53_6.fasta,16_3,0.030000000000000027,average,ANImf,16
14_1009_05_30cm_unknown_4260_53_14.fasta,16_3,0.030000000000000027,average,ANImf,16
14_1009_13_40cm_Archaea_9334_53_6.fasta,16_4,0.030000000000000027,average,ANImf,16
14_0927_12_40cm_Archaea_6568_52_16.fasta,17_1,0.030000000000000027,average,ANImf,17
14_0929_09_40cm_unknown_7076_52_9.fasta,17_1,0.030000000000000027,average,ANImf,17
14_0929_12_40cm_Archaea_7581_52_11.fasta,17_1,0.030000000000000027,average,ANImf,17
14_1009_12_40cm_Archaea_8747_52_7.fasta,17_1,0.030000000000000027,average,ANImf,17
14_0903_09_20cm_Archaea_636_52_6.fasta,18_1,0.030000000000000027,average,ANImf,18
14_1009_09_20cm_Archaea_7800_52_19.fasta,18_1,0.030000000000000027,average,ANImf,18
14_1009_12_20cm_Archaea_8417_52_8.fasta,18_1,0.030000000000000027,average,ANImf,18
14_0903_13_40cm_unknown_1460_52_24.fasta,18_2,0.030000000000000027,average,ANImf,18
14_1009_13_20cm_unknown_9059_52_11.fasta,18_2,0.030000000000000027,average,ANImf,18
14_0903_02_20cm_unknown_76_52_6.fasta,18_3,0.030000000000000027,average,ANImf,18
14_0903_02_30cm_Archaea_188_52_13.fasta,18_3,0.030000000000000027,average,ANImf,18
14_0919_02_20cm_Archaea_5914_52_10.fasta,18_3,0.030000000000000027,average,ANImf,18
14_0927_02_20cm_Archaea_1920_52_9.fasta,18_3,0.030000000000000027,average,ANImf,18
14_0929_02_20cm_Archaea_2480_52_11.fasta,18_3,0.030000000000000027,average,ANImf,18
14_0927_05_20cm_unknown_2231_52_9.fasta,18_4,0.030000000000000027,average,ANImf,18
14_0903_12_30cm_Archaea_1095_52_13.fasta,19_1,0.030000000000000027,average,ANImf,19
14_0919_12_20cm_unknown_1815_52_18.fasta,19_1,0.030000000000000027,average,ANImf,19
14_0927_12_20cm_unknown_6454_52_11.fasta,19_1,0.030000000000000027,average,ANImf,19
14_1009_12_30cm_Archaea_8546_52_24.fasta,19_1,0.030000000000000027,average,ANImf,19
14_0903_16_40cm_Archaea_5750_52_12.fasta,19_2,0.030000000000000027,average,ANImf,19
14_0927_05_40cm_Archaea_2389_52_10.fasta,19_2,0.030000000000000027,average,ANImf,19
14_0929_05_30cm_unknown_3280_52_19.fasta,19_2,0.030000000000000027,average,ANImf,19
14_0929_05_40cm_Archaea_3469_52_9.fasta,19_2,0.030000000000000027,average,ANImf,19
14_1009_02_30cm_Archaea_3697_52_9.fasta,19_2,0.030000000000000027,average,ANImf,19
14_1009_05_30cm_unknown_4284_52_13.fasta,19_2,0.030000000000000027,average,ANImf,19
14_1009_16_40cm_Archaea_10364_52_21.fasta,19_2,0.030000000000000027,average,ANImf,19
14_0929_05_30cm_unknown_3278_52_7.fasta,20_0,0.030000000000000027,average,ANImf,20
14_0903_05_40cm_unknown_497_53_7.fasta,21_1,0.030000000000000027,average,ANImf,21
14_0929_05_30cm_unknown_3215_53_7.fasta,21_1,0.030000000000000027,average,ANImf,21
14_0929_05_40cm_unknown_3413_53_7.fasta,21_1,0.030000000000000027,average,ANImf,21
14_1009_05_40cm_unknown_4379_53_10.fasta,21_1,0.030000000000000027,average,ANImf,21
14_1009_16_40cm_unknown_10122_53_10.fasta,21_1,0.030000000000000027,average,ANImf,21
14_0903_13_30cm_unknown_4948_52_13.fasta,22_1,0.030000000000000027,average,ANImf,22
14_1009_13_30cm_unknown_9115_52_8.fasta,22_1,0.030000000000000027,average,ANImf,22
14_1009_05_30cm_Archaea_4186_52_6.fasta,23_1,0.030000000000000027,average,ANImf,23
14_1009_05_40cm_unknown_4353_52_9.fasta,23_1,0.030000000000000027,average,ANImf,23
14_1009_16_40cm_unknown_10170_52_7.fasta,23_1,0.030000000000000027,average,ANImf,23
14_1009_12_30cm_unknown_8517_52_13.fasta,23_2,0.030000000000000027,average,ANImf,23
14_0903_13_30cm_unknown_4933_52_11.fasta,24_1,0.030000000000000027,average,ANImf,24
14_0929_09_40cm_unknown_7058_52_11.fasta,24_1,0.030000000000000027,average,ANImf,24
14_1009_09_40cm_unknown_8236_52_14.fasta,24_1,0.030000000000000027,average,ANImf,24
14_1009_12_40cm_unknown_8782_52_12.fasta,24_1,0.030000000000000027,average,ANImf,24
14_0927_12_40cm_unknown_6550_52_27.fasta,24_2,0.030000000000000027,average,ANImf,24
14_0927_12_20cm_unknown_6373_52_11.fasta,24_3,0.030000000000000027,average,ANImf,24
14_0903_13_20cm_unknown_1210_52_9.fasta,25_1,0.030000000000000027,average,ANImf,25
14_0903_16_40cm_unknown_5721_52_12.fasta,25_1,0.030000000000000027,average,ANImf,25
14_0929_09_30cm_unknown_6859_52_8.fasta,25_1,0.030000000000000027,average,ANImf,25
14_0929_09_40cm_unknown_7066_52_9.fasta,25_1,0.030000000000000027,average,ANImf,25
14_1009_09_30cm_unknown_10604_52_7.fasta,25_1,0.030000000000000027,average,ANImf,25
14_1009_13_30cm_Archaea_9180_52_22.fasta,25_1,0.030000000000000027,average,ANImf,25
14_1009_13_40cm_unknown_9368_52_14.fasta,25_1,0.030000000000000027,average,ANImf,25
14_1009_16_30cm_unknown_9753_52_35.fasta,25_1,0.030000000000000027,average,ANImf,25
14_0903_05_30cm_Archaea_4601_52_16.fasta,26_1,0.030000000000000027,average,ANImf,26
14_0903_16_40cm_unknown_5768_52_12.fasta,26_1,0.030000000000000027,average,ANImf,26
14_0927_05_40cm_unknown_2402_52_11.fasta,26_1,0.030000000000000027,average,ANImf,26
14_0929_05_40cm_unknown_3594_52_14.fasta,26_1,0.030000000000000027,average,ANImf,26
14_1009_05_40cm_unknown_4385_52_18.fasta,26_1,0.030000000000000027,average,ANImf,26
14_0903_02_30cm_Archaea_200_52_6.fasta,26_2,0.030000000000000027,average,ANImf,26
14_0927_02_20cm_Archaea_1917_52_6.fasta,26_2,0.030000000000000027,average,ANImf,26
14_0929_02_30cm_Archaea_2621_52_8.fasta,26_2,0.030000000000000027,average,ANImf,26
14_0929_05_20cm_unknown_2983_52_8.fasta,26_2,0.030000000000000027,average,ANImf,26
14_1009_13_20cm_unknown_8931_52_11.fasta,26_2,0.030000000000000027,average,ANImf,26
14_1009_13_30cm_unknown_9162_52_15.fasta,26_2,0.030000000000000027,average,ANImf,26
14_0903_09_30cm_unknown_10603_52_8.fasta,27_0,0.030000000000000027,average,ANImf,27
14_0903_05_20cm_Ktedonobacter_racemifer_407_54_6.fasta,28_1,0.030000000000000027,average,ANImf,28
14_0903_12_20cm_Ktedonobacter_racemifer_973_54_7.fasta,28_1,0.030000000000000027,average,ANImf,28
14_0903_12_40cm_Ktedonobacter_racemifer_4703_55_10.fasta,28_1,0.030000000000000027,average,ANImf,28
14_0903_16_20cm_Ktedonobacter_racemifer_5412_54_8.fasta,28_1,0.030000000000000027,average,ANImf,28
14_0919_05_20cm_Ktedonobacter_racemifer_1536_54_6.fasta,28_1,0.030000000000000027,average,ANImf,28
14_0919_09_20cm_Ktedonobacter_racemifer_1663_54_8.fasta,28_1,0.030000000000000027,average,ANImf,28
14_1009_12_20cm_Ktedonobacter_racemifer_10581_54_6.fasta,28_1,0.030000000000000027,average,ANImf,28
14_0903_16_20cm_Ktedonobacter_racemifer_5439_53_10.fasta,29_0,0.030000000000000027,average,ANImf,29
14_0903_12_20cm_Ktedonobacter_racemifer_1020_54_11.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0903_12_40cm_Ktedonobacter_racemifer_4690_54_11.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0919_12_20cm_Ktedonobacter_racemifer_1829_53_9.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0927_05_20cm_Ktedonobacter_racemifer_2220_52_8.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0927_12_20cm_Ktedonobacter_racemifer_6382_54_7.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0929_05_20cm_Ktedonobacter_racemifer_3036_53_7.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0929_09_20cm_Ktedonobacter_racemifer_6734_54_8.fasta,30_1,0.030000000000000027,average,ANImf,30
14_0929_12_20cm_Ktedonobacter_racemifer_7290_52_7.fasta,30_1,0.030000000000000027,average,ANImf,30
14_1009_09_20cm_Ktedonobacter_racemifer_7781_53_7.fasta,30_1,0.030000000000000027,average,ANImf,30
14_1009_09_30cm_Ktedonobacter_racemifer_8023_53_6.fasta,30_1,0.030000000000000027,average,ANImf,30
14_1009_12_20cm_Ktedonobacter_racemifer_8422_52_9.fasta,30_1,0.030000000000000027,average,ANImf,30
14_1009_02_40cm_Chloroflexi_3845_53_8.fasta,31_0,0.030000000000000027,average,ANImf,31
14_0903_05_20cm_Chloroflexi_387_50_7.fasta,32_0,0.030000000000000027,average,ANImf,32
14_0903_13_40cm_Bacteria_1368_63_9.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0927_05_40cm_Bacteria_2307_63_7.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0927_09_40cm_Bacteria_6194_63_9.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0927_12_40cm_Bacteria_6530_63_8.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0929_05_30cm_Bacteria_3229_63_12.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0929_05_40cm_Bacteria_3417_63_12.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0929_09_40cm_Bacteria_7052_63_12.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0929_12_40cm_Bacteria_7545_63_8.fasta,33_1,0.030000000000000027,average,ANImf,33
14_1009_05_30cm_Bacteria_4189_63_6.fasta,33_1,0.030000000000000027,average,ANImf,33
14_1009_09_30cm_Bacteria_7980_63_6.fasta,33_1,0.030000000000000027,average,ANImf,33
14_1009_09_40cm_Bacteria_8196_63_10.fasta,33_1,0.030000000000000027,average,ANImf,33
14_1009_12_40cm_Bacteria_8703_62_7.fasta,33_1,0.030000000000000027,average,ANImf,33
14_1009_13_30cm_Bacteria_9157_63_8.fasta,33_1,0.030000000000000027,average,ANImf,33
14_1009_13_40cm_Bacteria_9343_63_8.fasta,33_1,0.030000000000000027,average,ANImf,33
14_0903_13_30cm_Bacteria_4876_63_13.fasta,34_1,0.030000000000000027,average,ANImf,34
14_0903_16_30cm_Bacteria_5532_63_7.fasta,34_1,0.030000000000000027,average,ANImf,34
14_0903_16_40cm_Bacteria_5703_63_9.fasta,34_1,0.030000000000000027,average,ANImf,34
14_0927_09_40cm_Bacteria_6183_63_8.fasta,34_1,0.030000000000000027,average,ANImf,34
14_0929_02_30cm_Bacteria_2649_63_6.fasta,34_1,0.030000000000000027,average,ANImf,34
14_0929_02_40cm_Bacteria_2810_63_8.fasta,34_1,0.030000000000000027,average,ANImf,34
14_0929_09_40cm_Bacteria_7017_63_7.fasta,34_1,0.030000000000000027,average,ANImf,34
14_1009_02_40cm_Bacteria_3808_63_6.fasta,34_1,0.030000000000000027,average,ANImf,34
14_1009_16_40cm_Bacteria_10177_63_33.fasta,34_1,0.030000000000000027,average,ANImf,34
14_1009_09_30cm_Bacteria_7944_62_6.fasta,35_0,0.030000000000000027,average,ANImf,35
14_0903_13_30cm_RIF_CHLX_4812_68_10.fasta,36_1,0.030000000000000027,average,ANImf,36
14_1009_05_30cm_RIF_CHLX_4194_67_5.fasta,36_1,0.030000000000000027,average,ANImf,36
14_1009_12_40cm_Bacteria_8740_67_5.fasta,36_1,0.030000000000000027,average,ANImf,36
14_1009_13_30cm_RIF_CHLX_9080_68_7.fasta,36_1,0.030000000000000027,average,ANImf,36
14_1009_16_30cm_RIF_CHLX_9611_68_13.fasta,36_1,0.030000000000000027,average,ANImf,36
14_1009_16_40cm_RIF_CHLX_10054_68_10.fasta,36_1,0.030000000000000027,average,ANImf,36
14_0903_02_30cm_RIF_CHLX_178_69_6.fasta,37_0,0.030000000000000027,average,ANImf,37
14_0903_05_40cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_496_69_7.fasta,38_1,0.030000000000000027,average,ANImf,38
14_0929_02_40cm_Actinobacteria_2835_69_10.fasta,38_1,0.030000000000000027,average,ANImf,38
14_0929_05_40cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_3405_69_9.fasta,38_1,0.030000000000000027,average,ANImf,38
14_1009_02_40cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_3809_69_6.fasta,38_1,0.030000000000000027,average,ANImf,38
14_1009_05_40cm_RBG_19FT_COMBO_Actinobacteria_70_19_curated_4381_69_10.fasta,38_1,0.030000000000000027,average,ANImf,38
14_1009_16_40cm_Actinobacteria_10075_69_11.fasta,38_1,0.030000000000000027,average,ANImf,38
14_1009_16_30cm_Actinobacteria_9696_69_13.fasta,39_1,0.030000000000000027,average,ANImf,39
14_1009_16_40cm_Actinobacteria_10278_69_14.fasta,39_1,0.030000000000000027,average,ANImf,39
14_0903_05_40cm_Actinobacteria_485_68_8.fasta,40_1,0.030000000000000027,average,ANImf,40
14_0929_02_40cm_Actinobacteria_2842_69_8.fasta,40_1,0.030000000000000027,average,ANImf,40
14_0929_05_30cm_Actinobacteria_3186_69_7.fasta,40_1,0.030000000000000027,average,ANImf,40
14_1009_02_40cm_Actinobacteria_3830_69_7.fasta,40_1,0.030000000000000027,average,ANImf,40
14_1009_05_40cm_Actinobacteria_10539_68_8.fasta,40_1,0.030000000000000027,average,ANImf,40
14_1009_09_20cm_Actinobacteria_7726_69_6.fasta,40_2,0.030000000000000027,average,ANImf,40
14_1009_13_20cm_Actinobacteria_8944_68_6.fasta,40_2,0.030000000000000027,average,ANImf,40
14_1009_13_30cm_Actinobacteria_9104_69_9.fasta,40_2,0.030000000000000027,average,ANImf,40
14_1009_09_30cm_Actinobacteria_7963_69_6.fasta,40_3,0.030000000000000027,average,ANImf,40
14_1009_16_30cm_Actinobacteria_9722_67_9.fasta,41_1,0.030000000000000027,average,ANImf,41
14_1009_16_40cm_Actinobacteria_10181_67_10.fasta,41_1,0.030000000000000027,average,ANImf,41
14_1009_16_40cm_Actinobacteria_10064_69_6.fasta,42_0,0.030000000000000027,average,ANImf,42
14_1009_16_40cm_Actinobacteria_10264_69_7.fasta,43_0,0.030000000000000027,average,ANImf,43
14_0903_16_40cm_Euryarchaeota_5700_65_8.fasta,44_1,0.030000000000000027,average,ANImf,44
14_0929_05_40cm_Euryarchaeota_3461_65_8.fasta,44_1,0.030000000000000027,average,ANImf,44
14_1009_05_40cm_Euryarchaeota_4432_65_6.fasta,44_1,0.030000000000000027,average,ANImf,44
14_1009_16_40cm_Euryarchaeota_10182_65_12.fasta,44_1,0.030000000000000027,average,ANImf,44
14_0929_02_40cm_Euryarchaeota_2820_68_8.fasta,45_1,0.030000000000000027,average,ANImf,45
14_0929_05_40cm_Euryarchaeota_3429_68_7.fasta,45_1,0.030000000000000027,average,ANImf,45
14_1009_16_40cm_Euryarchaeota_10056_68_9.fasta,45_1,0.030000000000000027,average,ANImf,45
14_1009_12_40cm_Euryarchaeota_8773_66_8.fasta,46_0,0.030000000000000027,average,ANImf,46
14_0903_02_30cm_Euryarchaeota_229_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_05_40cm_Euryarchaeota_504_65_10.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_09_40cm_Euryarchaeota_770_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_12_30cm_Euryarchaeota_1049_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_13_20cm_Euryarchaeota_1221_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_13_40cm_Euryarchaeota_1383_65_12.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_16_40cm_Euryarchaeota_5711_65_17.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0919_12_20cm_Euryarchaeota_1809_65_15.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0927_05_40cm_Euryarchaeota_2372_65_8.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0927_09_20cm_Euryarchaeota_6063_65_13.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0927_09_40cm_Euryarchaeota_6218_65_9.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0927_12_20cm_Euryarchaeota_6357_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0929_02_40cm_Euryarchaeota_2836_65_15.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0929_05_30cm_Euryarchaeota_3209_65_15.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0929_09_40cm_Euryarchaeota_7035_65_6.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0929_12_20cm_Euryarchaeota_7187_65_13.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_02_30cm_Euryarchaeota_3680_65_10.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_02_40cm_Euryarchaeota_3850_65_13.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_05_30cm_Euryarchaeota_4209_65_12.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_05_40cm_Euryarchaeota_4422_65_10.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_09_20cm_Euryarchaeota_7769_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_09_30cm_Euryarchaeota_7965_65_11.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_12_30cm_Euryarchaeota_8504_65_12.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_13_40cm_Euryarchaeota_9346_65_14.fasta,47_1,0.030000000000000027,average,ANImf,47
14_1009_16_20cm_Euryarchaeota_9466_65_9.fasta,47_1,0.030000000000000027,average,ANImf,47
14_0903_02_20cm_Euryarchaeota_62_65_10.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_02_30cm_Euryarchaeota_207_64_14.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_05_20cm_Euryarchaeota_381_65_9.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_05_30cm_Euryarchaeota_4581_65_17.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_09_30cm_Euryarchaeota_699_65_7.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_09_40cm_Euryarchaeota_771_65_8.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_13_20cm_Euryarchaeota_1209_65_14.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_13_40cm_Euryarchaeota_1386_65_10.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0903_16_30cm_Euryarchaeota_5546_65_14.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0919_02_20cm_Euryarchaeota_5922_65_14.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0919_05_20cm_Euryarchaeota_1559_65_10.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0927_02_20cm_Euryarchaeota_1926_65_11.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0927_05_40cm_Euryarchaeota_2346_65_12.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0927_09_20cm_Euryarchaeota_6055_65_10.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0929_02_20cm_Euryarchaeota_2489_65_19.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0929_02_40cm_Euryarchaeota_2845_65_17.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0929_05_20cm_Euryarchaeota_3010_65_7.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0929_05_30cm_Euryarchaeota_3276_65_33.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0929_05_40cm_Euryarchaeota_3453_65_12.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_02_30cm_Euryarchaeota_3692_65_21.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_02_40cm_Euryarchaeota_3825_65_20.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_05_20cm_Euryarchaeota_4005_65_9.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_05_30cm_Euryarchaeota_4199_65_19.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_05_40cm_Euryarchaeota_4423_65_18.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_13_30cm_Euryarchaeota_9134_64_21.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_13_40cm_Euryarchaeota_9349_65_9.fasta,47_2,0.030000000000000027,average,ANImf,47
14_1009_16_40cm_Euryarchaeota_10169_65_19.fasta,47_2,0.030000000000000027,average,ANImf,47
14_0929_12_30cm_Euryarchaeota_7367_63_8.fasta,48_1,0.030000000000000027,average,ANImf,48
